,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h,c_max,c_therapeutic,cipa_category
bepridil,2808.0,0.6486,,,28630.0,0.7061,2929.0,1.164,1814.0,1.416,8594.0,3.541,51.34,0.9293,3000.0,33.0,2
chlorpromazine,8192.0,0.8441,9270.0,0.6878,,,4536.0,1.995,4560.0,0.9379,17620000.0,0.3654,975.2,0.8281,10500.0,38.0,1
cisapride,9267000.0,0.4261,29480.0,0.5133,81170000.0,0.2921,,,,,219100.0,0.243,11.27,0.621,300.0,2.6,1
diltiazem,112.1,0.7142,,,,,110900.0,0.7022,21870.0,0.6779,2822000000.0,0.1696,13140.0,0.9119,100000.0,122.0,0
dofetilide,260.3,1.163,394.4,0.765,,,380.5,0.892,753100.0,0.2597,18.82,0.7712,6.125,1.079,30.0,2.0,2
mexiletine,38240.0,1.031,,,,,,,8957.0,1.409,,,29070.0,0.8928,300000.0,4129.0,0
ondansetron,22550.0,0.7526,,,569800.0,0.6535,57670.0,1.02,19180.0,1.035,1023000.0,0.9891,1325.0,0.921,20000.0,139.0,1
quinidine,51590.0,0.5892,39590000.0,0.3468,4899.0,1.363,12330.0,1.494,9417.0,1.337,3487.0,1.282,986.3,0.8404,10000.0,3237.0,2
ranolazine,,,,,36160000.0,0.5191,68770.0,1.425,7884.0,0.945,,,8208.0,0.8576,100000.0,1948.2,0
sotalol,7062000.0,0.8651,3050000.0,1.204,4222000.0,1.167,1144000000.0,0.5089,,,43140000.0,0.6632,107100.0,0.785,2100000.0,14690.0,2
terfenadine,700.4,0.6601,,,399800.0,0.543,4803.0,1.015,20060.0,0.6011,240000.0,0.2559,20.4,0.6118,800.0,4.0,1
verapamil,201.8,1.097,348800000.0,0.2728,,,,,7028.0,1.031,13430.0,0.8222,295.6,0.9378,1000.0,81.0,0
