Species,Drug,Subject_ID,Drug_Concentration,APD_90,APD_90_relative,APD_90_relative_noisy
Guinea Pig,bepridil,0,0.0,161.6646658663465,0.0,0.0
Guinea Pig,bepridil,0,11.0,162.7999999999474,0.0070227722769026,-0.020548635247081483
Guinea Pig,bepridil,0,22.0,166.3999999998395,0.0292910891079184,0.057755966984063586
Guinea Pig,bepridil,0,33.0,169.1999999998188,0.0466108910879883,0.069405786440906
Guinea Pig,bepridil,0,44.0,171.5999999998985,0.0614564356429368,0.06020042475171219
Guinea Pig,bepridil,0,55.0,173.5999999998512,0.0738277227713571,0.03620047194154367
Guinea Pig,bepridil,0,66.0,175.1999999999043,0.0837247524746558,0.047300617372975064
Guinea Pig,bepridil,0,77.0,176.7999999999574,0.0936217821779546,0.10665542387883717
Guinea Pig,bepridil,0,88.0,177.9999999998835,0.1010445544547252,0.08528121339020453
Guinea Pig,bepridil,0,99.0,178.79999999991009,0.1059930693063748,0.09776987861669728
Guinea Pig,bepridil,1,0.0,198.4793917567027,0.0,0.0
Guinea Pig,bepridil,1,11.0,206.4000000000305,0.0399064516130567,0.064604259143999
Guinea Pig,bepridil,1,22.0,212.4000000000023,0.0701362903225921,0.013382630931035644
Guinea Pig,bepridil,1,33.0,217.6000000000044,0.0963354838709897,0.09490538414470151
Guinea Pig,bepridil,1,44.0,221.99999999998,0.1185040322579635,0.12915988896862793
Guinea Pig,bepridil,1,55.0,225.9999999999991,0.1386572580645113,0.1570153309536993
Guinea Pig,bepridil,1,66.0,229.6000000000049,0.1567951612903471,0.1712627476938351
Guinea Pig,bepridil,1,77.0,233.2000000000107,0.1749330645161828,0.13834713525102615
Guinea Pig,bepridil,1,88.0,236.8000000000165,0.1930709677420184,0.18069618765011203
Guinea Pig,bepridil,1,99.0,240.4000000000223,0.211208870967854,0.18887287661811444
Guinea Pig,bepridil,2,0.0,186.4745898359343,0.0,0.0
Guinea Pig,bepridil,2,11.0,195.2000000001135,0.046791416309622,-0.006016877202477101
Guinea Pig,bepridil,2,22.0,207.600000000184,0.1132884120181545,0.1276457805891668
Guinea Pig,bepridil,2,33.0,220.0000000000272,0.1797854077254682,0.2151730668025146
Guinea Pig,bepridil,2,44.0,234.4000000000505,0.2570077253221598,0.2398652524178427
Guinea Pig,bepridil,2,55.0,256.3999999997577,0.3749862660931218,0.3979836234738253
Guinea Pig,bepridil,2,66.0,,,
Guinea Pig,bepridil,2,77.0,,,
Guinea Pig,bepridil,2,88.0,,,
Guinea Pig,bepridil,2,99.0,,,
Guinea Pig,bepridil,3,0.0,172.46898759503802,0.0,0.0
Guinea Pig,bepridil,3,11.0,176.0000000000445,0.0204733178656872,0.023764780887428692
Guinea Pig,bepridil,3,22.0,182.4000000000296,0.0575814385152527,0.005293907565879746
Guinea Pig,bepridil,3,33.0,187.9999999999881,0.0900510440834576,0.14497785349798964
Guinea Pig,bepridil,3,44.0,192.8000000000338,0.1178821345709616,0.12955241920857802
Guinea Pig,bepridil,3,55.0,196.8000000000529,0.1410747099771049,0.11124804432791582
Guinea Pig,bepridil,3,66.0,,,
Guinea Pig,bepridil,3,77.0,,,
Guinea Pig,bepridil,3,88.0,,,
Guinea Pig,bepridil,3,99.0,,,
Guinea Pig,bepridil,4,0.0,149.65986394557808,0.0,0.0
Guinea Pig,bepridil,4,11.0,158.0000000000154,0.0557272727273767,0.02514284829682844
Guinea Pig,bepridil,4,22.0,164.4000000000005,0.0984909090909134,0.11515510149044951
Guinea Pig,bepridil,4,33.0,169.999999999959,0.135909090908818,0.10445725889835275
Guinea Pig,bepridil,4,44.0,174.3999999999914,0.1653090909090345,0.18147542013155107
Guinea Pig,bepridil,4,55.0,178.4000000000105,0.1920363636364349,0.21240073308128984
Guinea Pig,bepridil,4,66.0,182.00000000001629,0.2160909090910191,0.17098027119545636
Guinea Pig,bepridil,4,77.0,185.2000000000089,0.237472727272788,0.2233008573107964
Guinea Pig,bepridil,4,88.0,187.9999999999881,0.2561818181817398,0.28346007532157746
