,Human,Dog,Guinea Pig,Mouse,Pig,Rabbit
bepridil,0.3198700058828402,0.1280586470264668,0.108211431021296,0.0,0.0542230585411162,0.0483706559080418
chlorpromazine,0.0342637876861108,0.0165686371393733,0.0077015212900924,0.0017054066933534,0.0171675719528706,0.0085940707008836
cisapride,0.2014341612639241,0.0781426045280297,0.0744149913124764,0.0047923898870453,0.0537633888342677,0.0500999664798052
diltiazem,0.0,0.0,0.0,0.0,0.0,0.0
dofetilide,0.1508621718111375,0.0460853300195519,0.0555144545987172,0.0152011104437777,0.041869163399806,0.0445251677396768
mexiletine,0.0177568027697038,0.027117961316857,0.0213528449077622,0.0,0.0,0.0
ondansetron,0.0594573902476995,0.0308401733279872,0.0163982542955409,0.0,0.0121089369659207,0.0110862127368847
quinidine,0.9480708141504548,0.3386848246771295,,0.0456670186508844,0.1491869177520362,0.3319747593677021
ranolazine,0.1067806704545322,0.0572870040840545,0.0527887997452537,0.0,0.0077349613396847,0.0364647043777558
sotalol,0.1037440668391316,0.0504675115560608,0.0347112637540018,0.0,0.0283408514232618,0.0253846276674877
terfenadine,0.20624056378492,0.0676480822356919,0.06242215308619,0.0019645340681946,0.0360606359921518,0.0352880137884148
verapamil,0.0048768707101842,0.0488024754362148,0.0313403521071386,0.0,0.0,0.0
