Species,Drug,Subject_ID,Drug_Concentration,draw_index
Dog,bepridil,0,0.0,1940
Dog,bepridil,0,11.0,1941
Dog,bepridil,0,22.0,1942
Dog,bepridil,0,33.0,1943
Dog,bepridil,0,44.0,1944
Dog,bepridil,0,55.0,1945
Dog,bepridil,0,66.0,1946
Dog,bepridil,0,77.0,1947
Dog,bepridil,0,88.0,1948
Dog,bepridil,0,99.0,1949
Dog,bepridil,1,0.0,1950
Dog,bepridil,1,11.0,1951
Dog,bepridil,1,22.0,1952
Dog,bepridil,1,33.0,1953
Dog,bepridil,1,44.0,1954
Dog,bepridil,1,55.0,1955
Dog,bepridil,1,66.0,1956
Dog,bepridil,1,77.0,1957
Dog,bepridil,1,88.0,1958
Dog,bepridil,1,99.0,1959
Dog,bepridil,2,0.0,1960
Dog,bepridil,2,11.0,1961
Dog,bepridil,2,22.0,1962
Dog,bepridil,2,33.0,1963
Dog,bepridil,2,44.0,1964
Dog,bepridil,2,55.0,1965
Dog,bepridil,2,66.0,1966
Dog,bepridil,2,77.0,1967
Dog,bepridil,2,88.0,1968
Dog,bepridil,2,99.0,1969
Dog,bepridil,3,0.0,1970
Dog,bepridil,3,11.0,1971
Dog,bepridil,3,22.0,1972
Dog,bepridil,3,33.0,1973
Dog,bepridil,3,44.0,1974
Dog,bepridil,3,55.0,1975
Dog,bepridil,3,66.0,1976
Dog,bepridil,3,77.0,1977
Dog,bepridil,3,88.0,1978
Dog,bepridil,3,99.0,1979
Dog,bepridil,4,0.0,1980
Dog,bepridil,4,11.0,1981
Dog,bepridil,4,22.0,1982
Dog,bepridil,4,33.0,1983
Dog,bepridil,4,44.0,1984
Dog,bepridil,4,55.0,1985
Dog,bepridil,4,66.0,1986
Dog,bepridil,4,77.0,1987
Dog,bepridil,4,88.0,1988
Dog,bepridil,4,99.0,1989
Dog,bepridil,5,0.0,1990
Dog,bepridil,5,11.0,1991
Dog,bepridil,5,22.0,1992
Dog,bepridil,5,33.0,1993
Dog,bepridil,5,44.0,1994
Dog,bepridil,5,55.0,1995
Dog,bepridil,5,66.0,1996
Dog,bepridil,5,77.0,1997
Dog,bepridil,5,88.0,1998
Dog,bepridil,5,99.0,1999
Dog,bepridil,6,0.0,2000
Dog,bepridil,6,11.0,2001
Dog,bepridil,6,22.0,2002
Dog,bepridil,6,33.0,2003
Dog,bepridil,6,44.0,2004
Dog,bepridil,6,55.0,2005
Dog,bepridil,6,66.0,2006
Dog,bepridil,6,77.0,2007
Dog,bepridil,6,88.0,2008
Dog,bepridil,6,99.0,2009
Dog,bepridil,7,0.0,2010
Dog,bepridil,7,11.0,2011
Dog,bepridil,7,22.0,2012
Dog,bepridil,7,33.0,2013
Dog,bepridil,7,44.0,2014
Dog,bepridil,7,55.0,2015
Dog,bepridil,7,66.0,2016
Dog,bepridil,7,77.0,2017
Dog,bepridil,7,88.0,2018
Dog,bepridil,7,99.0,2019
Dog,bepridil,8,0.0,2020
Dog,bepridil,8,11.0,2021
Dog,bepridil,8,22.0,2022
Dog,bepridil,8,33.0,2023
Dog,bepridil,8,44.0,2024
Dog,bepridil,8,55.0,2025
Dog,bepridil,8,66.0,2026
Dog,bepridil,8,77.0,2027
Dog,bepridil,8,88.0,2028
Dog,bepridil,8,99.0,2029
Dog,bepridil,9,0.0,2030
Dog,bepridil,9,11.0,2031
Dog,bepridil,9,22.0,2032
Dog,bepridil,9,33.0,2033
Dog,bepridil,9,44.0,2034
Dog,bepridil,9,55.0,2035
Dog,bepridil,9,66.0,2036
Dog,bepridil,9,77.0,2037
Dog,bepridil,9,88.0,2038
Dog,bepridil,9,99.0,2039
Dog,bepridil,10,0.0,2040
Dog,bepridil,10,11.0,2041
Dog,bepridil,10,22.0,2042
Dog,bepridil,10,33.0,2043
Dog,bepridil,10,44.0,2044
Dog,bepridil,10,55.0,2045
Dog,bepridil,10,66.0,2046
Dog,bepridil,10,77.0,2047
Dog,bepridil,10,88.0,2048
Dog,bepridil,10,99.0,2049
Dog,bepridil,11,0.0,2050
Dog,bepridil,11,11.0,2051
Dog,bepridil,11,22.0,2052
Dog,bepridil,11,33.0,2053
Dog,bepridil,11,44.0,2054
Dog,bepridil,11,55.0,2055
Dog,bepridil,11,66.0,2056
Dog,bepridil,11,77.0,2057
Dog,bepridil,11,88.0,2058
Dog,bepridil,11,99.0,2059
Dog,bepridil,12,0.0,2060
Dog,bepridil,12,11.0,2061
Dog,bepridil,12,22.0,2062
Dog,bepridil,12,33.0,2063
Dog,bepridil,12,44.0,2064
Dog,bepridil,12,55.0,2065
Dog,bepridil,12,66.0,2066
Dog,bepridil,12,77.0,2067
Dog,bepridil,12,88.0,2068
Dog,bepridil,12,99.0,2069
Dog,bepridil,13,0.0,2070
Dog,bepridil,13,11.0,2071
Dog,bepridil,13,22.0,2072
Dog,bepridil,13,33.0,2073
Dog,bepridil,13,44.0,2074
Dog,bepridil,13,55.0,2075
Dog,bepridil,13,66.0,2076
Dog,bepridil,13,77.0,2077
Dog,bepridil,13,88.0,2078
Dog,bepridil,13,99.0,2079
Dog,bepridil,14,0.0,2080
Dog,bepridil,14,11.0,2081
Dog,bepridil,14,22.0,2082
Dog,bepridil,14,33.0,2083
Dog,bepridil,14,44.0,2084
Dog,bepridil,14,55.0,2085
Dog,bepridil,14,66.0,2086
Dog,bepridil,14,77.0,2087
Dog,bepridil,14,88.0,2088
Dog,bepridil,14,99.0,2089
Dog,bepridil,15,0.0,2090
Dog,bepridil,15,11.0,2091
Dog,bepridil,15,22.0,2092
Dog,bepridil,15,33.0,2093
Dog,bepridil,15,44.0,2094
Dog,bepridil,15,55.0,2095
